agent_id,step,n_episodes,survival_rate,wipe_rate,corner_rate,avg_duration,avg_reward
7,115000,5000,0.9554,0.0002,0.0,94.54,9.0037
7,120000,5000,0.961,0.0002,0.0,94.48,9.0542
7,125000,5000,0.9572,0.0004,0.0,94.03,8.9712
7,130000,5000,0.9706,0.0002,0.0,91.55,8.8576
7,135000,5000,0.9728,0.0,0.0,95.16,9.2416
7,140000,5000,0.954,0.0,0.0,92.04,8.7394
7,145000,5000,0.9536,0.0,0.0,92.59,8.7906
7,150000,5000,0.966,0.0004,0.0,97.42,9.3986
7,155000,5000,0.9682,0.0002,0.0,94.81,9.16
7,160000,5000,0.9528,0.0004,0.0,93.95,8.9183
7,165000,5000,0.958,0.0,0.0,93.47,8.9226
7,170000,5000,0.954,0.0004,0.0,94.52,8.9878
7,175000,5000,0.9634,0.0002,0.0,92.05,8.8358
7,180000,5000,0.9556,0.0,0.0,95.06,9.0576
7,185000,5000,0.9638,0.0002,0.0,96.24,9.2583
7,190000,5000,0.972,0.0004,0.0,98.41,9.5588
7,195000,5000,0.9654,0.0006,0.0,94.9,9.138
7,200000,5000,0.9658,0.0002,0.0,96.3,9.2847
7,205000,5000,0.9688,0.0,0.0,98.05,9.4902
7,210000,5000,0.9724,0.0,0.0,96.59,9.3802
7,215000,5000,0.9672,0.0004,0.0,97.57,9.426
7,220000,5000,0.9672,0.0,0.0,97.92,9.4604
7,225000,5000,0.978,0.0,0.0,98.57,9.6349
7,230000,5000,0.9774,0.0002,0.0,98.16,9.5876
7,235000,5000,0.9804,0.0,0.0,97.86,9.5884
7,240000,5000,0.9692,0.0,0.0,97.95,9.4837
7,245000,5000,0.9718,0.0002,0.0,98.39,9.5538
7,250000,5000,0.9672,0.0,0.0,96.85,9.3536
7,255000,5000,0.9606,0.0002,0.0,95.54,9.1564
7,260000,5000,0.9754,0.0002,0.0,97.16,9.4671
7,265000,5000,0.972,0.0,0.0,95.98,9.3152
7,270000,5000,0.9558,0.0006,0.0,96.15,9.1686
7,275000,5000,0.9736,0.0004,0.0,95.98,9.331
7,280000,5000,0.9642,0.0002,0.0,97.45,9.3833
